sno,title,totalCopies,availableCopies
1251,MATLAB Programming for Engineers,9217,1324
1252,MATLAB Programming for Engineers,9218,1325
1253,MATLAB Programming for Engineers,9219,1326
1254,MATLAB Programming for Engineers,9220,1327
1255,Introduction to Automata TheoryLanguagesand Computation,9290,1328
1256,Intergrated Approach to Software Engg.,9291,1329
1257,Software Project Management: A Concise Study,9329,1330
1258,Neural NetworksFuzzy Systems and Evolutionary Algorithms: Synthesis and Applications 2e,9330,1331
1259,Operating System Concepts 8 ed.,9342,1332
1260,Algorithm Design 1e,9580,1333
1261,Computer Networks 5e,9581,1334
1262,Cryptography and Network security 7e,9582,1335
1263,Introduction to Database Systems Vol 1 3e,9583,1336
1264,Neural networks and learning machines 3e,9584,1337
1265,Compiler PrinciplesTechniques and Tools2e,9585,1338
1266,Computer GraphicsC Version 2e,9586,1339
1267,Computer Networks and Internets 6e,9587,1340
1268,Computer System Architecture Revised 3e,9588,1341
1269,Data Strcutures using C 1e,9589,1342
1270,Data Strcutures using C and C++ 2e,9590,1343
1271,Foundations of Software Testing 2e,9591,1344
1272,Introduction to Automata Theory Languagesand Computation3e,9592,1345
1273,Introduction to Programming using Python1e,9593,1346
1274,modern operating systems4e,9594,1347
1275,Operating Systems Design and Implementation3e,9595,1348
1276,Pattern Recognition and Image Analysis,9596,1349
1277,Python for Programmers,9597,1350
1278,Thinking in C++: Introduction to Standard C++Vol I2e,9598,1351
1279,Data Analytics,9657,1352
1280,Data communication and networking,9658,1353
1281,Data communication and networking,9659,1354
1282,Data Structutes using C,9660,1355
1283,Database System Concepts,9661,1356
1284,Introduction to neural networks using matlab 6.0,9662,1357
1285,Mastering Cloud Computing,9663,1358
1286,Neural NetworksA Classroom Approach,9664,1359
1287,Object Oriented Prog With C++,9665,1360
1288,programming in ANSI C ,9666,1361
1289,Programming with Java,9667,1362
1290,Software Engineering: A Practitioner's Approach,9668,1363
1291,Systems Programming,9669,1364
1292,Algorithm Design 1e,9850,1365
1293,Compiler PrinciplesTechniquesand Tools2e,9851,1366
1294,Computer Forensics and Cyber Crime,9852,1367
1295,Computer Graphics with OpenGL4e,9853,1368
1296,Computer Networks6e,9854,1369
1297,Computer VisionA Modern Approach2e,9855,1370
1298,Cryptography and Network security 7e,9856,1371
1299,Data and Computer Communications10e,9857,1372
1300,Data Structures and Algorithms,9858,1373
1301,Deep Learning,9859,1374
1302,Effective Python2e,9860,1375
1303,A First Course in Database Systems3e,9861,1376
1304,Foundations of Modern Networking: SDNNFVQoEIoT and Cloud1e,9862,1377
1305,Fundamentals of Database Systems7e,9863,1378
1306,Fuzzy Sets and Fuzzy Logic: Theory and Applications,9864,1379
1307,High Speed Networks and Internets2e,9865,1380
1308,Internetworking with TCP/IP Volume 1 6e,9866,1381
1309,An Introduction to Database Systems8e,9867,1382
1310,Machine Learning with Python for Everyone,9868,1383
1311,Operating Systems9e,9869,1384
1312,Pattern Recognition and Image Analysis,9870,1385
1313,Pointers in C,9871,1386
1314,Thinking in C++: Introduction to Standard C++Vol I2e,9872,1387
1315,Thinking in C++Vol II: Practical Programming,9873,1388
1316,Applied Machine Learning,9924,1389
1317,C++ Programming: An Object Oriented Approach,9925,1390
1318,Computer Fundamentals and C Programming,9926,1391
1319,Computing Fundamentals and C Programming,9927,1392
1320,Data Analytics,9928,1393
1321,Data Analytics using R,9929,1394
1322,Data Science and Machine Learning using Python,9930,1395
1323,Data Structures using C,9931,1396
1324,Discrete Mathermatics with Graph Theory and Combinatorics,9932,1397
1325,Fundamentals of Computers,9933,1398
1326,Information TheoryCoding and Cryptography,9934,1399
1327,Internet of Things,9935,1400
1328,Introduction to Computing and Problem Solving using Python,9936,1401
1329,Object Oriented Programming with C++,9937,1402
1330,Programming and Problem Solving with Python,9938,1403
1331,Programming for Problem Solving,9939,1404
1332,Python Programming,9940,1405
1333,Data Science and Machine Learning using Python,10032,1406
1334,Computer Fundamentals and C Programming2e,10092,1407
1335,Formal Languages and Automata Theory,10093,1408
1336,Design and Analysis of Algorithms,10265,1409
1337,Introduction to Database SystemsVol I3e,10266,1410
1338,Textbook on Pattern Recognition,10267,1411
1339,Data Structures and Algorithms in Java6e,10561,1412
1340,Python for Data Science,10562,1413
1341,Deep Learning using Python,10563,1414
1342,Zero Trust Securuty: An Enterprise Guide,10653,1415
1343,Deep Learning for NLP and Speech Recog,10654,1416
1344,Machine Learning - A Practical Approach on Statistical Learning Theory,10655,1417
1345,Geographical Data Science with Python,10687,1418
1346,Formal Languages and Automata Theory,10745,1419
1347,Cyber Security Essentials,10746,1420
1348,Data Scieence and its Applications,10747,1421
1349,Intro to OOP in C++ with Applications in Comp. Graphics,10748,1422
1350,Comp. Networks - A Top-Down Approach,10752,1423
1351,Data Comm and Networking with TCPIP protocol suite,10753,1424
1352,Cyber Security and Cyber Laws,10785,1425
1353,Design and Analysis of Algorithms,10786,1426
1354,Digital Forensic,10787,1427
1355,Operating Systems Concepts,10788,1428
1356,Remote Sensing and Image Interpretation,10789,1429
1357,Silberschatz's Operating System ConceptsGlobal Edition,10790,1430
1358,Guide to teaching computer science,10817,1431
1359,Computational methods for deep learning,10818,1432
1360,IoT machine learning applications in telecomenergyand agriculture,10819,1433
1361,CryptographyNetwork Security and Cyber Laws,10825,1434
1362,Cyber security and cyber laws,10826,1435
1363,Guide to computer forensics and investigations,10827,1436
1364,Guide to computer forensics and investigations,10828,1437
1365,Artificial Intelligence: Beyond Classical AI,10860,1438
1366,C++ Programming Language4e,10861,1439
1367,Cuda for Engineers,10862,1440
1368,Digital Image Processing,10863,1441
1369,Introduction to Automata TheoryLanguages and Computation4e,10864,1442
1370,Machine Learning with Python for Everyone,10865,1443
1371,Software testing,10866,1444
1372,Unix and Linux handbook,10867,1445
1373,Wireless CommunicationsPrinciples and Practice2e,10868,1446
1374,Introduction to Data Science,10906,1447
