sno,title,totalCopies,availableCopies
775,Computer Forensics and cybercrime,6542,848
776,Distributed SysteM,6543,849
777,Distributed SysteM,6544,850
778,C# 2010for programmers,6545,851
779,Digital Fundamentals,6546,852
780,Database system the complete book,6547,853
781,computer architecture and organization,6548,854
782,Software testing ,6549,855
783,Core java ,6550,856
784,Core java ,6551,857
785,introduction to digital computer design,6588,858
786,introduction to digital computer design,6589,859
787,data minning and data ware housing,6629,860
788,data minning and data ware housing,6630,861
789,Distributed systems,6692,862
790,Distributed systems,6693,863
791,Cloud computing,6706,864
792,Introduction to cryptography,6707,865
793,Guide to unix and linux,6714,866
794,Guide to unix and linux,6715,867
795,Guide to unix and linux,6716,868
796,digital transmission and hierarchy and network,6717,869
797,Fundamental of computer security,6718,870
798,Fundamental of computer security,6719,871
799,Advanced objective general knowledge,6797,872
800,Advanced objective general knowledge,6798,873
801,Advanced objective general knowledge,6799,874
802,A modern approach to verbal reasoning,6800,875
803,A modern approach to verbal reasoning,6801,876
804,A modern approach to verbal reasoning,6802,877
805,A modern approach to non-verbal reasoning,6803,878
806,A modern approach to non-verbal reasoning,6804,879
807,A modern approach to non-verbal reasoning,6805,880
808,Software engineering,6806,881
809,Software engineering,6807,882
810,Software engineering,6808,883
811,Digital communicaton,6810,884
812,Digital communicaton,6811,885
813,Text book of information technology,6815,886
814,Text book of information technology,6816,887
815,Text book of information technology,6817,888
816,Programming in c++,6818,889
817,Programming in c++,6819,890
818,Programming in C++,6820,891
819,computer system and programming,6821,892
820,computer system and programming,6822,893
821,computer system and programming,6823,894
822,C and data structure,6824,895
823,C and data structure,6825,896
824,C and data structure,6826,897
825,C and data structure,6827,898
826,C and data structure,6828,899
827,C and data structure,6829,900
828,C++ programming with numerical techniques,6830,901
829,C++ programming with numerical techniques,6831,902
830,C++ programming with numerical techniques,6832,903
831,Data communication and networking,6833,904
832,Data communication and networking,6834,905
833,Data communication and networking,6835,906
834,MIS ,6836,907
835,MIS ,6837,908
836,MIS ,6838,909
837,Artificial intelligance,6839,910
838,Artificial intelligance,6840,911
839,Artificial intelligance,6841,912
840,Artificial intelligance,6842,913
841,Artificial intelligance,6843,914
842,Artifical intelligance,6844,915
843,computer application in buisness,6845,916
844,computer application in buisness,6846,917
845,computer application in buisness,6847,918
846,Programming in c and C++,6848,919
847,Programming in c and C++,6849,920
848,Programming in c and C++,6850,921
849,Database mangement and oracle programming,6851,922
850,Database mangement and oracle programming,6852,923
851,Database mangement and oracle programming,6853,924
852,Computer Fundamentals,6854,925
853,Computer Fundamentals,6855,926
854,Computer Fundamentals,6856,927
855,Web design technology,6857,928
856,Web design technology,6858,929
857,Web design technology,6859,930
858,Advanced Computer Architecture,6860,931
859,Advanced Computer Architecture,6861,932
860,Advanced Computer Architecture,6862,933
861,Operating systems,6863,934
862,Operating systems,6864,935
863,Operating systems,6865,936
864,Data base management system,6866,937
865,Data base management system,6867,938
866,Data base management system,6868,939
867,Data base management system,6869,940
868,Data base management system,6870,941
869,Data base management system,6871,942
870,Computer Fundamentals,6933,943
871,Computer Fundamentals,6934,944
872,C programming ,6935,945
873,Web technology,6936,946
874,Web technology,6937,947
875,Introduction to information technology,6938,948
876,Introduction to information technology,6939,949
877,Introduction to information technology,6940,950
878,Wireless communication system,6941,951
879,Wireless communication system,6942,952
880,Wireless communication system,6943,953
881,Distributed computing,6944,954
882,Software Testing,6945,955
883,Software Testing,6946,956
884,Mobile  Computing,6982,957
885,MIS ,6983,958
886,MIS ,6984,959
887,Introduction to information technology,6985,960
888,Introduction to information technology,6986,961
889,Computer Dictionary,6987,962
890,Computer Dictionary,6988,963
891,Information technology principles and applications,6989,964
892,Computer graphics and animations,6990,965
893,Compiler Design,6991,966
894,Compiler Design,6992,967
895,C++ programming today,6993,968
896,C++ programming today,6994,969
897,Microsoft Office professonal 2010,6995,970
898,Microsoft Office professonal 2010,6996,971
899,Neural networks and learning machine,6997,972
900,Computer networks,6998,973
901,Computer networks,6999,974
